Dataset,FileName,Model,EmbK,TotEpoch,LearnRate,Epsilon,Alpha,Epoch,Top-K,Coverage,Coverage[%],Precision,Recall,MAR,nDCG,Novelty,ARP,APLT,ACLT,P_Pop,P_Tail,RSP,PC_Pop,PC_Tail,REO
lastfm,amf_emb64_ep200_lr0.05_eps1.0_alpha10.0_fgsmep_175_best0_top100_rec.tsv,amf,64.0,200.0,0.05,1.0,10.0,175.0,10.0,1564.0,9.51,0.0003171247357293869,0.003171247357293869,0.0005409158025437094,0.0011298684403300285,4.322030534860847,158.14503171247358,0.029175475687103648,0.2917547568710359,0.002757634056285104,2.2600194091449473e-05,0.9837422374834867,0.022727272727272728,0.0,1.0
lastfm,amf_emb64_ep200_lr0.05_eps1.0_alpha10.0_fgsmep_175_best0_top100_rec.tsv,amf,64.0,200.0,0.05,1.0,10.0,175.0,50.0,4534.0,27.56,0.00019027484143763212,0.009513742071881607,0.0005409158025437094,0.0024333270266652107,5.020507408054623,111.33228329809727,0.05122621564482037,2.561310782241015,0.013474509302247714,0.00019840677638979014,0.9709781329383306,0.06060606060606061,0.004555808656036446,0.8601694915254239
lastfm,amf_emb64_ep200_lr0.05_eps1.0_alpha10.0_fgsmep_175_best0_top100_rec.tsv,amf,64.0,200.0,0.05,1.0,10.0,175.0,100.0,6839.0,41.57,0.0001638477801268499,0.01638477801268499,0.0005409158025437094,0.0035373333375900984,5.4685697935557185,88.85835623678645,0.07094080338266424,7.094080338266385,0.026384609020613486,0.000549528632419266,0.9591946369697572,0.0946969696969697,0.01366742596810934,0.7477506170873477
lastfm,amf_emb64_ep200_lr0.05_eps1.0_alpha10.0_fgsmep_150_best0_top100_rec.tsv,amf,64.0,200.0,0.05,1.0,10.0,150.0,10.0,1545.0,9.39,0.0002642706131078224,0.002642706131078224,0.0007795983086680762,0.001214094110764563,4.309387005201914,162.07748414376331,0.026427061310782304,0.2642706131078224,0.002765742095000088,2.0471190300225974e-05,0.9853053673900494,0.01893939393939394,0.0,1.0
lastfm,amf_emb64_ep200_lr0.05_eps1.0_alpha10.0_fgsmep_150_best0_top100_rec.tsv,amf,64.0,200.0,0.05,1.0,10.0,150.0,50.0,4486.0,27.27,0.00016913319238900636,0.008456659619450317,0.0007795983086680762,0.0024021503049880266,5.022948026642998,111.87211416490494,0.04767441860465125,2.383720930232558,0.013523457832267802,0.0001846501365080383,0.9730597195574133,0.056818181818181816,0.002277904328018223,0.9229084537888743
lastfm,amf_emb64_ep200_lr0.05_eps1.0_alpha10.0_fgsmep_150_best0_top100_rec.tsv,amf,64.0,200.0,0.05,1.0,10.0,150.0,100.0,6747.0,41.01,0.0001744186046511628,0.01744186046511628,0.0007795983086680762,0.0038894712924957275,5.466148989516568,89.01552854122615,0.06809725158562402,6.809725158562368,0.02646388762138222,0.0005275016316562229,0.96091333967948,0.10606060606060606,0.011389521640091117,0.8060534822215691
lastfm,amf_emb64_ep200_lr0.05_eps1.0_alpha10.0_fgsmep_200_best0_top100_rec.tsv,amf,64.0,200.0,0.05,1.0,10.0,200.0,10.0,1510.0,9.18,0.00021141649048625794,0.0021141649048625794,0.0009645877378435518,0.00123321742285043,4.328055829226035,156.51738900634243,0.02727272727272734,0.2727272727272727,0.0027633397131586112,2.1126268389833206e-05,0.9848256229166895,0.015151515151515152,0.0,1.0
lastfm,amf_emb64_ep200_lr0.05_eps1.0_alpha10.0_fgsmep_200_best0_top100_rec.tsv,amf,64.0,200.0,0.05,1.0,10.0,200.0,50.0,4388.0,26.67,0.00019027484143763215,0.009513742071881607,0.0009645877378435518,0.002816526684910059,5.015344286329204,110.41647991543307,0.04794926004228335,2.397463002114165,0.013521656045886694,0.00018571463840365003,0.9729029523340326,0.06060606060606061,0.004555808656036446,0.8601694915254239
lastfm,amf_emb64_ep200_lr0.05_eps1.0_alpha10.0_fgsmep_200_best0_top100_rec.tsv,amf,64.0,200.0,0.05,1.0,10.0,200.0,100.0,6766.0,41.13,0.0001691331923890064,0.016913319238900635,0.0009645877378435518,0.003994822036474943,5.475400615986286,88.01100422832965,0.06863107822410185,6.863107822410148,0.026452326158770113,0.0005316368120968685,0.9605960908951109,0.10227272727272728,0.011389521640091117,0.7995900705989524
lastfm,amf_emb64_ep200_lr0.05_eps1.0_alpha10.0_fgsmep_125_best0_top100_rec.tsv,amf,64.0,200.0,0.05,1.0,10.0,125.0,10.0,1681.0,10.22,0.00010570824524312897,0.0010570824524312897,0.00028188865398167724,0.00046873826067894697,4.412196438304385,157.9189217758982,0.031606765327695636,0.31606765327695563,0.0027508773573559505,2.4483543599070264e-05,0.9823564974265903,0.007575757575757576,0.0,1.0
