Dataset,FileName,Model,EmbK,TotEpoch,LearnRate,Epsilon,Alpha,Epoch,Top-K,Coverage,Coverage[%],Precision,Recall,MAR,nDCG,Novelty,ARP,APLT,ACLT,P_Pop,P_Tail,RSP,PC_Pop,PC_Tail,REO
yelp,bprmf_emb64_ep2000_lr0.01_XX_XX_XXep_1100_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.01,0.0,0.0,1100.0,50.0,5840.0,22.65,0.0017556568134906726,0.08778284067453362,0.006913883155266494,0.024404853582382202,6.858398180413298,321.5882883514423,0.029149043891420263,1.4574521945710168,0.009385565544805142,7.06399372201361e-05,0.9850595595972589,0.14765866094190258,0.004976058586048259,0.9347978153143978
yelp,bprmf_emb64_ep2000_lr0.01_XX_XX_XXep_275_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.01,0.0,0.0,275.0,50.0,2360.0,9.16,0.0016419363632823151,0.08209681816411575,0.007497661732969596,0.02351353131234646,6.492927385377213,379.92653581025786,0.014148070257428863,0.7074035128714413,0.009530585354892217,3.428650347825007e-05,0.9928307448367445,0.13947403730041594,0.002722749037649047,0.961704492657438
yelp,bprmf_emb64_ep2000_lr0.01_XX_XX_XXep_875_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.01,0.0,0.0,875.0,50.0,4945.0,19.18,0.0017556568134906726,0.08778284067453362,0.0068182352064814974,0.02427716739475727,6.793590229431509,330.98970362581326,0.025140008567979127,1.2570004283989562,0.009424322331892642,6.092442117727368e-05,0.98715385634906,0.1479270092580169,0.0046005069946483896,0.9396763664986513
yelp,bprmf_emb64_ep2000_lr0.01_XX_XX_XXep_1500_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.01,0.0,0.0,1500.0,50.0,7277.0,28.23,0.0018171904817540988,0.09085952408770495,0.007043577384738735,0.025176556780934334,6.956738953273631,307.8985340966634,0.036885150134361014,1.8442575067180746,0.00931077782198543,8.938765537395574e-05,0.9809816847183704,0.15222058231584598,0.006008825462397897,0.9240491948144156
yelp,bprmf_emb64_ep2000_lr0.01_XX_XX_XXep_1300_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.01,0.0,0.0,1300.0,50.0,6583.0,25.54,0.0018000545235035245,0.09000272617517623,0.0072599095849475576,0.02516511268913746,6.911836122367016,314.14606223468496,0.03301631810569756,1.6508159052848852,0.009348179213371405,8.001190868949922e-05,0.9830270923332727,0.15114718905138871,0.005445498075298094,0.9304501611765232
yelp,bprmf_emb64_ep2000_lr0.01_XX_XX_XXep_1275_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.01,0.0,0.0,1275.0,50.0,6481.0,25.14,0.0017984967091171085,0.08992483545585543,0.007130632627185963,0.02501715160906315,6.905982112106834,314.85744206877683,0.032616738715581926,1.630836935779102,0.009352042091120753,7.904356601804237e-05,0.9832376528235197,0.15114718905138871,0.00525772227959816,0.9327678109995959
yelp,bprmf_emb64_ep2000_lr0.01_XX_XX_XXep_775_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.01,0.0,0.0,775.0,50.0,4538.0,17.6,0.0017338474120808505,0.08669237060404253,0.007154247115107029,0.024312028661370277,6.757940338008599,336.42100712700113,0.02308603029948987,1.1543015149744908,0.009444178878919986,5.594680007662705e-05,0.9882218821167139,0.14604857104521668,0.0046005069946483896,0.9389241931712188
yelp,bprmf_emb64_ep2000_lr0.01_XX_XX_XXep_675_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.01,0.0,0.0,675.0,50.0,4100.0,15.91,0.0017128169178642363,0.08564084589321182,0.007294496773407861,0.02413579449057579,6.71864177071804,342.41633991509707,0.021038283288546237,1.0519141644273085,0.009463975186138375,5.098427983635401e-05,0.9892833427155054,0.145042264859788,0.003473852220448784,0.9532191887487601
yelp,bprmf_emb64_ep2000_lr0.01_XX_XX_XXep_1125_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.01,0.0,0.0,1125.0,50.0,5935.0,23.02,0.0017759084005140788,0.08879542002570394,0.006911549524588431,0.02463676407933235,6.865459362866909,320.49144604120465,0.029766717295634182,1.4883358647817113,0.009379594273742312,7.213681000466882e-05,0.9847357464224273,0.14913457668053132,0.005351610177448127,0.9307172985974738
yelp,bprmf_emb64_ep2000_lr0.01_XX_XX_XXep_200_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.01,0.0,0.0,200.0,50.0,1990.0,7.72,0.0016357051057366513,0.08178525528683257,0.0072613004906497145,0.023228194564580917,6.416068352629285,393.9375363165502,0.012604276200490724,0.6302138100245356,0.009545509767561234,3.054526532069162e-05,0.9936204908564527,0.13907151482624447,0.002534973241949113,0.9641969336782316
yelp,bprmf_emb64_ep2000_lr0.01_XX_XX_XXep_50_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.01,0.0,0.0,50.0,50.0,1063.0,4.12,0.0014768080383222337,0.0738404019161117,0.003715588220203246,0.018834494054317474,6.109711485698685,457.79318378315025,0.0018911866651088515,0.09455933325544262,0.009649077059109997,4.5831111233864325e-06,0.9990504925504798,0.1271300147591574,9.388789784996713e-05,0.9985240525421849
yelp,bprmf_emb64_ep2000_lr0.01_XX_XX_XXep_1475_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.01,0.0,0.0,1475.0,50.0,7191.0,27.9,0.0018109592242084352,0.09054796121042177,0.007132858076309413,0.025206556543707848,6.951768591145082,308.6323900767224,0.0364326050551072,1.8216302527553843,0.00931515273811091,8.829095538932331e-05,0.9812215698275832,0.15181805984167449,0.0058210496666979625,0.9261471384245696
yelp,bprmf_emb64_ep2000_lr0.01_XX_XX_XXep_1225_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.01,0.0,0.0,1225.0,50.0,6295.0,24.42,0.001785255286832574,0.08926276434162869,0.00684014969854437,0.024643732234835625,6.892695927432217,316.67649647544647,0.031620516415468924,1.5810258207734549,0.009361672930577701,7.662931596581368e-05,0.9837620550891178,0.15007379578693145,0.005163834381748193,0.9334718730743671
yelp,bprmf_emb64_ep2000_lr0.01_XX_XX_XXep_125_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.01,0.0,0.0,125.0,50.0,1603.0,6.22,0.0015702769015071855,0.07851384507535927,0.005581611855709298,0.02148049883544445,6.300838158983055,416.4544479495268,0.010932741363866494,0.5466370681933248,0.009561669096313861,2.6494459525474453e-05,0.9944735069711366,0.13370454850395813,0.002159421650549244,0.9682120042849697
yelp,bprmf_emb64_ep2000_lr0.01_XX_XX_XXep_150_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.01,0.0,0.0,150.0,50.0,1746.0,6.77,0.0016045488180083344,0.08022744090041671,0.006316056429971608,0.022244703024625778,6.34437453076901,407.8211294154322,0.011722553257779333,0.5861276628889668,0.009554033700528602,2.8408493577827765e-05,0.994070719550951,0.13672346706024419,0.002065533752699277,0.9702349070805236
yelp,bprmf_emb64_ep2000_lr0.01_XX_XX_XXep_375_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.01,0.0,0.0,375.0,50.0,2787.0,10.81,0.0016629668574989292,0.08314834287494645,0.008042711314121527,0.024148350581526756,6.5662784051318805,367.05595747166825,0.015705884643844814,0.7852942321922343,0.009515525402653048,3.80617185716491e-05,0.9920319523779525,0.1408828659600161,0.00328607642474885,0.95441353220198
